title,content,type
Sea Fever,"I must go down to the seas again, to the lonely sea and the sky, 
And all I ask is a tall ship and a star to steer her by, 
And the wheel's kick and the wind's song and the white sail's shaking, 
And a gray mist on the sea's face, and a gray dawn breaking. 

I must go down to the seas again, for the call of the running tide 
Is a wild call and a clear call that may not be denied; 
And all I ask is a windy day with the white clouds flying, 
And the flung spray and the blown spume, and the sea-gulls crying. 

I must go down to the seas again, to the vagrant gypsy life, 
To the gull's way and the whale's way, where the wind's like a whetted knife;
And all I ask is a merry yarn from a laughing fellow-rover, 
And quiet sleep and a sweet dream when the long trick's over.
",Nature
"Music
","Sweet melody amidst the moving spheres
Breaks forth, a solemn and entrancing sound,
A harmony whereof the earth's green hills
Give but the faintest echo; yet is there
A music everywhere, and concert sweet!
All birds which sing amidst the forest deep
Till the flowers listen with unfolded bells;
All winds that murmur over summer grass,
Or curl the waves upon the pebbly shore;
Chiefly all earnest human voices rais'd
In charity and for the cause of truth,
Mingle together in one sacred chord,
And float, a grateful incense, up to God.",Nature
"The Way Through The Woods
","THEY shut the road through the woods
  Seventy years ago.
Weather and rain have undone it again,
  And now you would never know
There was once a path through the woods        
  Before they planted the trees:
It is underneath the coppice and heath,
  And the thin anemones.
  Only the keeper sees
That, where the ring-dove broods        
  And the badgers roll at ease,
There was once a road through the woods.

Yet, if you enter the woods
  Of a summer evening late,
When the night-air cools on the trout-ring d pools        
  Where the otter whistles his mate
(They fear not men in the woods
  Because they see so few),
You will hear the beat of a horse s feet
  And the swish of a skirt in the dew,
  Steadily cantering through
The misty solitudes,
  As though they perfectly knew
The old lost road through the woods ...
But there is no road through the woods.
",Nature
"The Seed-Shop
","HERE in a quiet and dusty room they lie,
Faded as crumbled stone and shifting sand,
Forlorn as ashes, shrivelled, scentless, dry -
Meadows and gardens running through my hand.

Dead that shall quicken at the voice of spring,
Sleepers to wake beneath June s tempest kiss;
Though birds pass over, unremembering,
And no bee find here roses that were his.

In this brown husk a dale of hawthorn dreams;
A cedar in this narrow cell is thrust
That shall drink deeply at a century s streams;
These lilies shall make summer on my dust.

Here in their safe and simple house of death,
Sealed in their shells, a million roses leap;
Here I can stir a garden with my breath,
And in my hand a forest lies asleep.
",Nature
Thank You,"You are my love. You are my light. 
Every day I m grateful for your endless outpour of affection. 
What you give to me every day has challenged me to be my best in this relationship we share. 
I am happy to do this with you. I am happy to believe in love again. 
I lost it all when my ex-left, but you gave me back the joy I lost. 
Thank you.",Love
My Love For You,"I love you with my heart.
I love you with my soul.
I know you don't believe in me,
but trust me, for I know.
My love is deep,
my love is true,
and it will never fade.
So tell me now
and tell me true
DO YOU LOVE ME TOO?",Love
Heart In My Hands,"If you said you were cold,
I would wrap my arms around you. 
If you said you were thirsty, 
I would give you the ocean blue.
I would give you anything: the moon, the stars, the sunset too. 
This heart in my hands I hold out to you.",Love
True Love,"True love is measured by how deep you fall 
And judged by how low you are willing to crawl 
Just to save it and make it last 
It is determined by how willing you are to open up and offer your trust. 
It is hospitable, amazing at all times, and always kind. 
It is never prejudiced, it is color blind ",Love
Your Smile On My Mind,"I wake up every day with your smile on my mind. 
It's a beautiful sight to behold, so soft and so kind. 
My dreams are filled with the thought of me and you. 
I awake and smile, for my dreams have come true. 
I have you to guide me through my troubles and fears. 
I'll always be here for you through your struggles and tears. 
I love you more than my words could ever show. 
You mean everything to me; I just want you to know. 
I'll be here for you no matter the dilemma. 
You will always be first on my agenda.",Love
Dear Future Husband,"Your heart is kind, 
And my heart is truly in your hands. 
From the first words we say together, 
I will love you forever.",Love
Princess,"The sound of your voice 
Calling me by what I wish to be, 
Ripples through the blood within me, 
Causing my heart to melt, 
Leaving me with a ridiculous smile 
Planted on my face.",Love
L.O.V.E.,"L, is for the Laughter I give to you every day 
knowing you'll never go away 

O, is for the Options we'll have when we're together 
knowing our love couldn't get any better 

V, is for the Visions I have of you 
knowing I'll never find anyone quite like you 

E, is for Everything that's true I've every said 
especially when I said, ""We'll be together till we're dead""",Love
Come A Little Closer,"Come a little closer 
Honey, come a little closer, 
let me whisper in your ear. 
Let me tell it to you softly, 
So that no one else will hear. 
What I have to say is private, 
and is just between us two; 
just want you, to know how much, 
I love the things you do",Love
How Do I Start?,"How do I start? 
What do I say? 
I love you and you take my breath away? 
Do I say hold me tight, keep me warm all through the night? 
So how do I start? 
I start like this: hold me, love me, teach me, move me, motivate me to do something great. 
Now that I've started, how do I end? 
I end like this 
I LOVE YOU!!! 
",Love
Daydream,"You fill the room with sweet sensation 
distracting bits of information 
crowd the space where logic dwells 
distorting sights and sounds and smells 
touching me with tactile pleasure 
pushing me beyond a measure 
of reasonable doubt that soon I sense 
I'm nowhere in the present tense. 
",Love
Love So Amazing,"My love for you is like the raging sea, 
So powerful and deep it will forever be. 
Through storm, wind, and heavy rain, 
It will withstand every pain. 
Our hearts are so pure and love so sweet. 
I love you more with every heartbeat!",Love
From My Heart,"A million stars up in the sky.
One shines brighter - I can't deny.
A love so precious, a love so true,
a love that comes from me to you.
The angels sing when you are near.
Within your arms I have nothing to fear.
You always know just what to say. 
Just talking to you makes my day.
I love you, honey, with all of my heart.
Together forever and never to part.",Love
Let Go,"What do I do,
When I'm still in love with you?
You walked away,
'Cause you didn't want to stay.
You broke my heart, you tore me apart.
Every day I wait for you,
Telling myself our love was true.
But when you don't show, more tears start to flow.
That's when I know
I have to let go.",Love
Loving Truly,"When I say I love you, please believe it's true. 
When I say forever, know I'll never leave you. 
When I say goodbye, promise me you won't cry, 
Because the day I'll be saying that will be the day I die.",Love
Beauty Is Love,"Beauty isn't seen by eyes. 
It's felt by hearts, 
Recognized by souls, 
In the presence of love. ",Love
God's Gift,"Love is like a river,
A never ending stream.
Love is shared by each other
To answer someone's dream.

It's a never ending story;
Love is not a lie.
You can share in all its glory,
For love will never die.

Love is all around you,
The moon and stars above.
Love is a gift from God,
And God is a gift of love",Love
I Love You,"You look at me as if I'm the only girl around. 
You make me feel important and never let me down. 

You've shown me how to live, 
How to smile, what to say. 
You've shown me what it's worth 
To love someone each and every day. 

So this poem goes out to you 
For everything you've done, 
And I hope now you understand 
That baby, you're the one! 

I love you! ",Love
